ILA199560   36379   39121    2340    2381    5076    6953      86     100      65      76      14      17    1019    1195      42      51
ILA199561   33411   35411    2142    2111    4773    6272      76      96      49      65       9       6     966    1003      26      46
ILA199562   32704   35200    2125    2014    4843    6523      87      92      55      63       8      23     931    1105      28      45
ILA199563   33425   36786    1921    1904    4518    5977      74      99      56      52      12      72     899     973      47      45
ILA199564   35651   39734    2011    1998    5045    6716      75     103      50      52      11      15     834    1082      40      43
ILA199565   34169   38232    1778    1706    4749    6470      88     108      55      56      10       8     783     991      21      41
ILA199566   32846   38229    1747    1700    4471    5773      64      91      56      48       5      14     658     936      26      37
ILA199567   33673   39791    1558    1711    4392    6116      69      88      50      57      12       9     645     902      21      28
ILA199568   30878   38372    1226    1451    4082    5493      55      79      45      42       6      10     599     800      21      37
ILA199569   30064   38217    1239    1440    3778    5231      63      69      37      47       8      20     590     884      26      27
ILA199570   30424   38731    1200    1338    3493    5146      52      61      37      50       9      11     597     810      20      29
ILA199571   29335   38000    1203    1235    3141    4561      51      45      34      46       9      14     535     723      18      34
ILA199572   28203   37271    1049    1193    3058    4393      47      55      41      45       7      15     566     725      28      78
ILA199573   26761   36891     883    1006    2845    4272      44      48      39      32       3       8     455     652       9      47
ILA199574   25862   35705     841    1059    2685    3978      36      38      27      42       5       7     389     645      10      25
ILA199575   24026   34643     694     926    2752    4066      42      52      20      36       4       4     368     580       5      18
ILA199576   22197   32834     578     866    2274    3391      34      29      29      22       3       3     323     466       5      21
ILA199577   20243   31150     568     846    1899    3168      14      33      27      22       1       4     263     387       0      22
ILA199578   19365   30683     466     721    1731    3053      22      36      19      23       3       2     252     364      10      15
ILA199579   17657   29187     423     663    1557    2820      16      34      20      27       3       4     246     361      11      24
ILA199580   15915   27247     404     651    1283    2497      13      30      18      25       3       4     221     295      11      12
ILA199581   13948   25729     359     586    1141    2167      12      30      13      25       0       3     171     240       5      20
ILA199582   12615   24063     327     557    1081    2036       2      31      12      16       1       6     133     234       9      12
ILA199583   11065   22025     277     529     887    1712       9      17      12      15       1       2     123     192       4      17
ILA199584    9333   19990     260     488     871    1766      13      15      10      23       1       5      99     189       4      17
ILA199585   38837  109645    1186    2332    4082    9603      38      96      52     125       5       4     321     645       0      67
ILA2000 0   52672   50054   13285   12710   18501   17956     619     592     100     100      86      85    3332    3194     230     226
ILA2000 1   52765   50141   12964   12390   18025   17514     598     572      99      98      83      81    3204    3035     222     215
ILA2000 2   53393   50673   12768   12176   17934   17339     591     563     101     101      82      79    3173    3035     220     215
ILA2000 3   54027   51291   12570   11980   17702   17208     581     557     104     103      80      79    3147    3030     218     214
ILA2000 4   55405   52611   12542   11946   18067   17548     591     565     106     105      80      78    3134    3009     218     212
ILA2000 5   57324   54739   12636   12059   18222   17781     596     572     111     120      81      79    3200    3076     223     218
ILA2000 6   56676   53898   13878   13100   18184   17408     400     419     114     112      22      38    3115    3061      86     124
ILA2000 7   56946   54453   13620   12638   18630   17810     414     532     102     104      91      59    3214    3058     165     165
ILA2000 8   57330   54463   12290   11878   15896   15461     831     946     100     103      38      49    3179    2920     295     355
ILA2000 9   59756   56453   12663   11823   19758   18938     781     777      97     116      44      69    3194    3063     187     186
ILA200010   61059   57761   12558   11643   17039   16462     552     525     148     150     108      93    3133    2962     205     217
ILA200011   57422   54506   11469   10677   16353   16059     501     464     149     126      92      94    3013    2742     219     215
ILA200012   55713   52868   11077   10521   15781   15191     499     482     148     142     110     116    2984    2957     221     216
ILA200013   55437   52547   10562   10272   15107   14447     454     450     156     128      86      90    3052    2921     218     228
ILA200014   55750   52620   10558   10093   14999   14521     443     426     135     126      97     102    3156    2961     204     185
ILA200015   56652   53709   10331   10031   15026   14627     431     449     150     130      90      81    3009    2998     226     204
ILA200016   55519   52558   10424    9698   14549   14133     410     390     128     134      88      80    3036    2985     213     204
ILA200017   58560   54913   11067   10007   15172   14572     455     384     143     120      77      88    3246    3175     213     174
ILA200018   57548   54765   10752    9644   15168   14760     481     423     127     129      73      77    2861    2916     189     193
